file	ext	bytes	mtime	mutations	paid_api	duplicate_of_tracked	class
pin-headings.ts	ts	2261	2026-08-14	none	-	-	read-only experiment
pipeline-state.ts	ts	1262	2026-08-08	db-read	-	-	read-only experiment
place-ch4-landscape.ts	ts	2239	2026-08-14	none	-	-	read-only experiment
place-p19-v2.ts	ts	5777	2026-08-14	none	-	-	read-only experiment
preflight.json	json	11492	2026-08-11	n/a	-	-	ARTIFACT (json)
preflight.ts	ts	1653	2026-08-08	db-read	-	backend/src/pipeline/print-prep/preflight.ts	DUPLICATE of tracked
prepare-missing-content-restoration.ts	ts	2625	2026-08-04	none	-	-	read-only experiment
prepress-audit.ts	ts	7159	2026-08-11	none	-	-	read-only experiment
preview-new-page-prompt.ts	ts	806	2026-08-03	db-read	-	-	read-only experiment
preview-p035.ts	ts	1018	2026-08-04	db-read	-	-	read-only experiment
print-cover-prompt.ts	ts	1011	2026-08-02	none	-	-	read-only experiment
print-quality.ts	ts	3947	2026-08-12	file-write	-	-	read-only experiment
printprep-all.ts	ts	2093	2026-06-16	db-read	-	-	read-only experiment
probe-blocks.ts	ts	1208	2026-08-14	none	-	-	read-only experiment
probe-dupes.ts	ts	1576	2026-08-14	none	-	-	read-only experiment
probe-fonts.ts	ts	586	2026-08-11	none	-	-	read-only experiment
probe-slugs.ts	ts	1190	2026-08-14	none	-	-	read-only experiment
probe-type3.ts	ts	1222	2026-08-11	none	-	-	read-only experiment
prod-book.json	json	742	2026-08-11	n/a	-	-	ARTIFACT (json)
prod-bundle.js	js	349195	2026-08-11	DB-WRITE	OpenAI+Anthropic	-	DANGEROUS — needs guard
prod-config-now.json	json	81461	2026-08-11	n/a	-	-	ARTIFACT (json)
prod-config.json	json	81462	2026-08-11	n/a	-	-	ARTIFACT (json)
prod-cover-v2.png	png	3128815	2026-08-11	n/a	-	-	ARTIFACT (png)
prod-interior-approved.pdf	pdf	11361547	2026-08-11	n/a	-	-	ARTIFACT (pdf)
prod-interior-final.pdf	pdf	11361407	2026-08-11	n/a	-	-	ARTIFACT (pdf)
prod-interior-rev3.pdf	pdf	11366708	2026-08-11	n/a	-	-	ARTIFACT (pdf)
prod-interior.headers	headers	527	2026-08-11	n/a	-	-	ARTIFACT (headers)
prod-projects.json	json	1792	2026-08-11	n/a	-	-	ARTIFACT (json)
promote-cover-edit.ts	ts	465	2026-06-16	STORAGE-WRITE	-	-	DANGEROUS — needs guard
promote-named.ts	ts	452	2026-06-16	STORAGE-WRITE	-	-	DANGEROUS — needs guard
promote-titlepage.ts	ts	829	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
publish-p150.ts	ts	1721	2026-08-11	none	OpenAI	-	DANGEROUS — needs guard
publish-v6.ts	ts	5464	2026-08-12	DB-WRITE	-	-	DANGEROUS — needs guard
qa-handoff.ts	ts	4648	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
qa-predict.ts	ts	5106	2026-08-14	none	-	-	read-only experiment
r6-resim.ts	ts	3070	2026-06-15	none	-	-	read-only experiment
ragged-check.ts	ts	3969	2026-08-14	none	-	-	read-only experiment
read-backmatter.ts	ts	767	2026-08-13	none	-	-	read-only experiment
real-1.png	png	31137	2026-08-11	n/a	-	-	ARTIFACT (png)
real-147.png	png	214897	2026-08-11	n/a	-	-	ARTIFACT (png)
real-19.png	png	233028	2026-08-11	n/a	-	-	ARTIFACT (png)
reconcile-20.ts	ts	1343	2026-08-07	db-read	-	-	read-only experiment
reconcile-change-order.ts	ts	4914	2026-08-13	DB-WRITE	-	-	DANGEROUS — needs guard
reconcile-report.json	json	522	2026-08-13	n/a	-	-	ARTIFACT (json)
refit-illustration.ts	ts	2176	2026-08-13	none	-	-	read-only experiment
refresh-toc-index-after-restoration.ts	ts	3858	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
remove-end-markers-20260804.ts	ts	2440	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
render-about-series-ai.ts	ts	3532	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
render-ch4-landscape.ts	ts	4033	2026-08-13	none	OpenAI	-	DANGEROUS — needs guard
